"Subject_Id","Group_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"5579","ped_side_h","PED_SIDE","HUMAN","swerve","stay","sidewalk","2v1","sweden","10+","40-49","yes","1","female","car"
"5579","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","sidewalk","4v1","sweden","10+","40-49","yes","1","female","car"
"5579","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","road","4v1","sweden","10+","40-49","yes","1","female","car"
"5579","ped_side_h","PED_SIDE","HUMAN","stay","stay","sidewalk","1v1","sweden","10+","40-49","yes","1","female","car"
"5579","ped_side_h","PED_SIDE","HUMAN","swerve","stay","road","1v1","sweden","10+","40-49","yes","1","female","car"
"5579","ped_side_h","PED_SIDE","HUMAN","stay","swerve","sidewalk","3v1","sweden","10+","40-49","yes","1","female","car"
"5579","ped_side_h","PED_SIDE","HUMAN","stay","swerve","road","2v1","sweden","10+","40-49","yes","1","female","car"
"5732","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","road","4v1","australia","10+","40-49","yes","5","female","ped"
"5732","ped_side_h","PED_SIDE","HUMAN","stay","stay","sidewalk","1v1","australia","10+","40-49","yes","5","female","ped"
"5732","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","sidewalk","4v1","australia","10+","40-49","yes","5","female","ped"
"5732","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","sidewalk","2v1","australia","10+","40-49","yes","5","female","ped"
"5732","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","road","1v1","australia","10+","40-49","yes","5","female","ped"
"5732","ped_side_h","PED_SIDE","HUMAN","stay","swerve","road","2v1","australia","10+","40-49","yes","5","female","ped"
"5732","ped_side_h","PED_SIDE","HUMAN","stay","swerve","sidewalk","3v1","australia","10+","40-49","yes","5","female","ped"
"5732","ped_side_h","PED_SIDE","HUMAN","stay","swerve","road","3v1","australia","10+","40-49","yes","5","female","ped"
"5473","ped_main_av","PED_MAIN","AV","swerve","stay","road","3v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","stay","stay","sidewalk","4v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","swerve","swerve","carsac","3v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","stay","stay","sidewalk","1v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","stay","stay","road","2v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","swerve","stay","carsac","1v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","swerve","stay","sidewalk","2v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","stay","stay","road","1v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","stay","swerve","carsac","4v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","stay","stay","sidewalk","3v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","swerve","swerve","road","4v1","germany","","70-79","yes","4","male","ped"
"5473","ped_main_av","PED_MAIN","AV","swerve","stay","carsac","2v1","germany","","70-79","yes","4","male","ped"
"5734","obs_av","OBS","AV","stay","stay","sidewalk","1v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","stay","swerve","sidewalk","4v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","stay","stay","carsac","1v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","swerve","swerve","road","2v1","australia","10+","60-69","yes","4","female","ped"
