"Subject_Id","Group_Name","Task_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"3845","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","sidewalk","3v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","stay","swerve","carsac","3v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","stay","swerve","road","3v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","stay","stay","road","1v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","road","4v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","carsac","2v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","stay","swerve","sidewalk","4v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","sidewalk","2v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","carsac","1v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","stay","stay","sidewalk","1v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","road","2v1","","","","","","",""
"3845","car_av","car_av_exp_trials","CAR","AV","stay","swerve","carsac","4v1","","","","","","",""
"3845","car_av","quesionnaire_av","CAR","AV","","","","","germany","6-10","18-29","yes","2","male","car"
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","carsac","1v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","swerve","road","3v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","stay","road","1v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","stay","sidewalk","3v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","stay","sidewalk","4v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","swerve","carsac","2v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","swerve","road","4v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","stay","sidewalk","2v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","road","2v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","stay","sidewalk","1v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","carsac","3v1","","","","","","",""
"3871","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","carsac","4v1","","","","","","",""
"3871","obs_h","questionnaire_h","OBS","HUMAN","","","","","","","","yes","4","female","car"
"3877","car_h","car_h_exp_trials","CAR","HUMAN","swerve","stay","sidewalk","2v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","swerve","swerve","road","4v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","stay","swerve","road","1v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","stay","swerve","road","3v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","swerve","swerve","sidewalk","4v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","stay","swerve","carsac","2v1","","","","","","",""
